,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
20,0t2QiRkpag0fAgs9zuCPlH,Disparate Youth,Santigold,6Jrxnp0JgqmeUX1veU591p,Master of My Make-Believe,58ZjpgafuBeQ0JVxIt0hdr,2012-04-21,58,2019-04-28T18:04:05Z,2019-04-28 18:04:05,2019,4,6,18,0.642,0.931,1,-4.142,1,0.0417,0.0131,0.825,0.215,0.548,152.005,audio_features,0t2QiRkpag0fAgs9zuCPlH,spotify:track:0t2QiRkpag0fAgs9zuCPlH,https://api.spotify.com/v1/tracks/0t2QiRkpag0fAgs9zuCPlH,https://api.spotify.com/v1/audio-analysis/0t2QiRkpag0fAgs9zuCPlH,284400,4,"['alternative dance', 'electropop', 'escape room', 'indie pop', 'indietronica', 'new rave']"
21,0wDa6LcGtxmcOSXIvPSwbp,Fur and Feathers,Abigail Lapell,6HyT9nfsNKEtu76UKQBD5g,Hide nor Hair,6s6I1KcMj9ce0HQeVE4mzU,2017-01-20,16,2020-06-02T04:33:54Z,2020-06-02 04:33:54,2020,6,1,4,0.421,0.207,9,-14.214,0,0.0287,0.76,0.15,0.0983,0.232,143.286,audio_features,0wDa6LcGtxmcOSXIvPSwbp,spotify:track:0wDa6LcGtxmcOSXIvPSwbp,https://api.spotify.com/v1/tracks/0wDa6LcGtxmcOSXIvPSwbp,https://api.spotify.com/v1/audio-analysis/0wDa6LcGtxmcOSXIvPSwbp,188907,4,"['canadian folk', 'canadian singer-songwriter', 'new americana']"
22,4PxzGOH79jcmmldKgoI9sB,I Wish I Was the Moon,Neko Case,4Cedjq5BQL3MhapRvDpFED,Blacklisted,76PyfjqUSplsygzK6lcbcU,2002-08-20,53,2020-06-02T04:02:00Z,2020-06-02 04:02:00,2020,6,1,4,0.271,0.31,0,-7.967,1,0.0309,0.725,1.99e-06,0.119,0.16,169.614,audio_features,4PxzGOH79jcmmldKgoI9sB,spotify:track:4PxzGOH79jcmmldKgoI9sB,https://api.spotify.com/v1/tracks/4PxzGOH79jcmmldKgoI9sB,https://api.spotify.com/v1/audio-analysis/4PxzGOH79jcmmldKgoI9sB,214733,3,"['alternative country', 'anti-folk', 'art pop', 'canadian indie', 'canadian singer-songwriter', 'folk', 'indie pop', 'indie rock', 'lilith', 'new americana', 'outlaw country', 'pop rock', 'roots rock', 'stomp and holler', 'traditional folk']"
23,0l5TOyEd5RswsWnqOaOX0X,Night Still Comes,Neko Case,4Cedjq5BQL3MhapRvDpFED,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You (Deluxe Edition)",56PXLjwRAZTqpZjM07FeR5,2013-09-03,34,2020-04-09T07:42:38Z,2020-04-09 07:42:38,2020,4,3,7,0.506,0.423,4,-9.431,1,0.0327,0.431,0.0,0.264,0.379,118.527,audio_features,0l5TOyEd5RswsWnqOaOX0X,spotify:track:0l5TOyEd5RswsWnqOaOX0X,https://api.spotify.com/v1/tracks/0l5TOyEd5RswsWnqOaOX0X,https://api.spotify.com/v1/audio-analysis/0l5TOyEd5RswsWnqOaOX0X,227827,3,"['alternative country', 'anti-folk', 'art pop', 'canadian indie', 'canadian singer-songwriter', 'folk', 'indie pop', 'indie rock', 'lilith', 'new americana', 'outlaw country', 'pop rock', 'roots rock', 'stomp and holler', 'traditional folk']"
24,6dA9wLJzLDS3Vfk7m3qIPI,Atomic Number,Neko Case,4Cedjq5BQL3MhapRvDpFED,case/lang/veirs,0U5U4AU94YjYY2QoOpmwfN,2016-06-17,45,2018-02-08T05:18:29Z,2018-02-08 05:18:29,2018,2,3,5,0.481,0.627,5,-9.27,0,0.0388,0.478,0.0654,0.11,0.235,140.25,audio_features,6dA9wLJzLDS3Vfk7m3qIPI,spotify:track:6dA9wLJzLDS3Vfk7m3qIPI,https://api.spotify.com/v1/tracks/6dA9wLJzLDS3Vfk7m3qIPI,https://api.spotify.com/v1/audio-analysis/6dA9wLJzLDS3Vfk7m3qIPI,177803,4,"['alternative country', 'anti-folk', 'art pop', 'canadian indie', 'canadian singer-songwriter', 'folk', 'indie pop', 'indie rock', 'lilith', 'new americana', 'outlaw country', 'pop rock', 'roots rock', 'stomp and holler', 'traditional folk']"
25,3Uw1j9ZMf1j9UTbPKBN0Hq,A Widow's Toast,Neko Case,4Cedjq5BQL3MhapRvDpFED,Fox Confessor Brings The Flood (Bonus Track Version),5yIiFmVkza1N3ddMtftxIZ,2008-04-15,29,2017-12-18T03:31:19Z,2017-12-18 03:31:19,2017,12,0,3,0.383,0.374,2,-9.142,1,0.0405,0.88,1.06e-06,0.0976,0.145,146.1,audio_features,3Uw1j9ZMf1j9UTbPKBN0Hq,spotify:track:3Uw1j9ZMf1j9UTbPKBN0Hq,https://api.spotify.com/v1/tracks/3Uw1j9ZMf1j9UTbPKBN0Hq,https://api.spotify.com/v1/audio-analysis/3Uw1j9ZMf1j9UTbPKBN0Hq,96627,4,"['alternative country', 'anti-folk', 'art pop', 'canadian indie', 'canadian singer-songwriter', 'folk', 'indie pop', 'indie rock', 'lilith', 'new americana', 'outlaw country', 'pop rock', 'roots rock', 'stomp and holler', 'traditional folk']"
26,0GxSwEarZc2qZvYkkKkgJa,Take Me For Longing,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,6FfrJoeF2HYdMsMLChPVVM,2001-08-14,27,2020-06-02T03:40:07Z,2020-06-02 03:40:07,2020,6,1,3,0.592,0.629,7,-7.057,1,0.0259,0.324,0.00697,0.196,0.662,106.888,audio_features,0GxSwEarZc2qZvYkkKkgJa,spotify:track:0GxSwEarZc2qZvYkkKkgJa,https://api.spotify.com/v1/tracks/0GxSwEarZc2qZvYkkKkgJa,https://api.spotify.com/v1/audio-analysis/0GxSwEarZc2qZvYkkKkgJa,171133,4,"['bluegrass', 'folk', 'progressive bluegrass']"
27,0zZW2PWSUK0DDtQBPt3rmA,It All Comes Down To You,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,6FfrJoeF2HYdMsMLChPVVM,2001-08-14,24,2020-04-27T06:14:11Z,2020-04-27 06:14:11,2020,4,0,6,0.62,0.434,5,-8.702,1,0.0303,0.484,0.0,0.0949,0.656,92.933,audio_features,0zZW2PWSUK0DDtQBPt3rmA,spotify:track:0zZW2PWSUK0DDtQBPt3rmA,https://api.spotify.com/v1/tracks/0zZW2PWSUK0DDtQBPt3rmA,https://api.spotify.com/v1/audio-analysis/0zZW2PWSUK0DDtQBPt3rmA,164893,4,"['bluegrass', 'folk', 'progressive bluegrass']"
28,0ELcJfwAwVM33Zg0f3HLx6,Momma Cried,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,6FfrJoeF2HYdMsMLChPVVM,2001-08-14,30,2020-04-20T00:56:40Z,2020-04-20 00:56:40,2020,4,0,0,0.598,0.674,0,-7.353,1,0.0276,0.174,0.000144,0.316,0.74,109.488,audio_features,0ELcJfwAwVM33Zg0f3HLx6,spotify:track:0ELcJfwAwVM33Zg0f3HLx6,https://api.spotify.com/v1/tracks/0ELcJfwAwVM33Zg0f3HLx6,https://api.spotify.com/v1/audio-analysis/0ELcJfwAwVM33Zg0f3HLx6,200800,4,"['bluegrass', 'folk', 'progressive bluegrass']"
29,3wAoItXesafDfmkKslhqWb,Let Me Touch You For Awhile,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,4yEJ55stPMUN9OYtrJOSAA,2001-01-01,0,2019-08-05T03:14:31Z,2019-08-05 03:14:31,2019,8,0,3,0.402,0.32,11,-10.919,1,0.0433,0.788,0.000274,0.134,0.291,169.733,audio_features,3wAoItXesafDfmkKslhqWb,spotify:track:3wAoItXesafDfmkKslhqWb,https://api.spotify.com/v1/tracks/3wAoItXesafDfmkKslhqWb,https://api.spotify.com/v1/audio-analysis/3wAoItXesafDfmkKslhqWb,201693,4,"['bluegrass', 'folk', 'progressive bluegrass']"
