,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
31,2ww6vlXkh2Ntw3pZwtqnHj,Let's Dance,M. Ward,6nXSnNEdLuKTzAQozRtqiI,Transfiguration of Vincent,3I1zi5eB3rHCYye20JoG2U,2003-02-18,53,2020-05-29T01:47:11Z,2020-05-29 01:47:11,2020,5,4,1
32,6xAk6hXb4VUC1qgfFdGQbg,Truth Hurts,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (DaBaby Remix),5Z1L2QX1aTvFy3a6lmmHlE,2019-08-23,44,2020-05-29T01:47:07Z,2020-05-29 01:47:07,2020,5,4,1
33,0HaDqyNg9LoZZ7Zli1uhzL,Unfucktheworld,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Burn Your Fire For No Witness (Deluxe Edition),358elHWlgNqitp1lenb5Jn,2014-11-18,55,2020-05-29T01:47:04Z,2020-05-29 01:47:04,2020,5,4,1
34,5cwN1htZyoWqZCc33f3RfE,The High Road,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Broken Bells,0X7WyEKdm5afGj1fmD7Blx,2010-03-01,65,2020-05-29T01:47:02Z,2020-05-29 01:47:02,2020,5,4,1
35,5fJ7aCs7V78bU3FEnBSYWs,Free at Last,PUP,6A7uqgC2N1nUhrCLAytHxN,Morbid Stuff,504XSXhUJlzztcMV4YMaDV,2019-04-05,47,2020-05-29T01:47:01Z,2020-05-29 01:47:01,2020,5,4,1
36,03CMUlyOZzrNXJnb8Vzm4l,Blue Ridge Mountains,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6XzZ5pg9buAKNYg293KOQ8,2008-06-03,59,2020-05-26T10:50:55Z,2020-05-26 10:50:55,2020,5,1,10
37,1OIZBoGN33Y1hDdkzo21Hp,Wasted,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,Sway,4GgwHp794AzZkv2hh8geZu,2015-02-17,35,2020-05-24T03:12:06Z,2020-05-24 03:12:06,2020,5,6,3
38,1GeId1N0DtmTpIfwr9aNQR,Lost in the Supermarket,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Legacy Edition),3TZuLZx0zB3Q45aQXDswb9,1979,38,2020-05-23T23:31:59Z,2020-05-23 23:31:59,2020,5,5,23
39,1d0RJmZXAncCnTYHFlhaj4,The Guns of Brixton,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Legacy Edition),3TZuLZx0zB3Q45aQXDswb9,1979,37,2020-05-23T23:31:54Z,2020-05-23 23:31:54,2020,5,5,23
40,6aLCZUnreez0cBOjKNeLDH,Spanish Bombs,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Legacy Edition),3TZuLZx0zB3Q45aQXDswb9,1979,37,2020-05-23T23:31:52Z,2020-05-23 23:31:52,2020,5,5,23
41,124Y9LPRCAz3q2OP0iCvcJ,London Calling,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Legacy Edition),3TZuLZx0zB3Q45aQXDswb9,1979,39,2020-05-23T23:26:30Z,2020-05-23 23:26:30,2020,5,5,23
