,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
446,0.859,0.413,1,-7.399,1,0.182,0.132,0.0,0.334,0.697,115.035,audio_features,79GsUxLyzxgnN4I1E11dtO,spotify:track:79GsUxLyzxgnN4I1E11dtO,https://api.spotify.com/v1/tracks/79GsUxLyzxgnN4I1E11dtO,https://api.spotify.com/v1/audio-analysis/79GsUxLyzxgnN4I1E11dtO,194230,4
447,0.763,0.609,11,-6.375,1,0.39,0.513,0.0,0.23,0.287,102.525,audio_features,1tAoLzNNXRabfHHzSqdk3R,spotify:track:1tAoLzNNXRabfHHzSqdk3R,https://api.spotify.com/v1/tracks/1tAoLzNNXRabfHHzSqdk3R,https://api.spotify.com/v1/audio-analysis/1tAoLzNNXRabfHHzSqdk3R,193506,4
448,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,audio_features,5hgnY0mVcVetszbb85qeDg,spotify:track:5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/audio-analysis/5hgnY0mVcVetszbb85qeDg,319467,4
449,0.437,0.803,2,-6.412,1,0.305,0.0376,0.0,0.683,0.406,84.378,audio_features,7aBxcRw77817BrkdPChAGY,spotify:track:7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/tracks/7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/audio-analysis/7aBxcRw77817BrkdPChAGY,289760,4
450,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4
451,0.576,0.609,7,-5.921,1,0.107,0.303,0.0,0.164,0.737,86.703,audio_features,0ewrI06EIDMGXvgJxuyF3U,spotify:track:0ewrI06EIDMGXvgJxuyF3U,https://api.spotify.com/v1/tracks/0ewrI06EIDMGXvgJxuyF3U,https://api.spotify.com/v1/audio-analysis/0ewrI06EIDMGXvgJxuyF3U,212800,4
452,0.546,0.911,7,-6.115,1,0.338,0.0422,0.0,0.206,0.834,207.457,audio_features,0r19jkkPE8jtgUjt06tmQi,spotify:track:0r19jkkPE8jtgUjt06tmQi,https://api.spotify.com/v1/tracks/0r19jkkPE8jtgUjt06tmQi,https://api.spotify.com/v1/audio-analysis/0r19jkkPE8jtgUjt06tmQi,161382,4
453,0.589,0.815,6,-6.612,1,0.316,0.478,0.0,0.302,0.671,91.538,audio_features,5igkLLTiaLm5MMUe7AZpYN,spotify:track:5igkLLTiaLm5MMUe7AZpYN,https://api.spotify.com/v1/tracks/5igkLLTiaLm5MMUe7AZpYN,https://api.spotify.com/v1/audio-analysis/5igkLLTiaLm5MMUe7AZpYN,165919,4
454,0.452,0.878,10,-6.61,0,0.26,0.00157,0.0,0.246,0.485,91.492,audio_features,7oUCnXgsxD2jyW4LTg3mNI,spotify:track:7oUCnXgsxD2jyW4LTg3mNI,https://api.spotify.com/v1/tracks/7oUCnXgsxD2jyW4LTg3mNI,https://api.spotify.com/v1/audio-analysis/7oUCnXgsxD2jyW4LTg3mNI,111360,4
455,0.364,0.922,0,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,audio_features,4e9eGQYsOiBcftrWXwsVco,spotify:track:4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,235053,4
